MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Housing units with a mortgage,150996,150997,156741,157026,149584,146190,154586,156793,155971,157907,166317
Less than $300,165,97,134,133,0,190,155,522,0,546,357
$300 to $499,692,735,498,579,514,311,868,1010,899,9017,9494
$500 to $699,3184,2936,3217,3502,1950,1571,1923,3371,3007,41803,40075
$700 to $999,14961,13541,12312,13183,10560,10735,10723,11028,10855,42727,41808
"$1,000 to $1,499",49531,47810,47547,47817,44613,44005,49733,45131,42373,21212,24723
"$1,500 to $1,999",40015,39008,39542,37040,37382,35174,35969,37811,39640,16356,18132
"$2,000 or more",42448,46870,53491,54772,54565,54204,55215,57920,59197,26246,31728
Median (dollars),1574,1613,1663,1658,1717,1709,1675,1701,1733,1800,1871
Housing units without a mortgage,47705,48553,49429,50083,57328,59071,58505,64864,67231,70006,69969
Less than $100,177,346,369,486,174,444,492,279,703,0,0
$100 to $199,2162,1944,1821,1784,2054,1315,1674,1890,2484,0,0
$200 to $299,5406,4717,4407,3986,4878,3140,3392,4275,4760,4502,2874
$300 to $399,5803,6365,5449,5747,6140,5099,4678,6854,5589,6822,7036
$400 or more,34157,35181,37383,38080,44082,49073,48269,51566,53695,14083,15922
$400 to $599,0,0,0,0,0,0,0,0,0,14083,15922
$600 to $799,0,0,0,0,0,0,0,0,0,14395,14586
$800 to $999,0,0,0,0,0,0,0,0,0,11044,9726
"$1,000 or more",0,0,0,0,0,0,0,0,0,19160,19825
