MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Housing units with a mortgage,"20,980","20,947","22,107","24,425","27,063","27,404","28,555","27,811","27,216","28,943","30,294"
Less than $300,0,81,0,0,0,0,11,274,140,71,73
$300 to $499,211,58,271,332,294,96,40,381,128,"3,406","3,917"
$500 to $699,578,336,506,490,823,782,381,615,741,"8,669","8,010"
$700 to $999,"2,349","1,924","1,777","1,677","2,766","5,165","2,681","2,074","3,009","8,162","7,860"
"$1,000 to $1,499","7,320","8,604","7,399","9,808","9,107","8,765","10,693","10,154","8,126","3,941","3,900"
"$1,500 to $1,999","5,101","5,400","6,346","5,975","6,963","5,147","7,034","7,539","7,914","2,635","3,241"
"$2,000 or more","5,421","4,544","5,808","6,143","7,110","7,449","7,715","6,774","7,158","2,059","3,293"
Median (dollars),"1,503","1,473","1,567","1,496","1,531","1,440","1,536","1,526","1,570","1,601","1,644"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
