VALUE,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,,,
Owner-occupied units,"88,174","91,625","94,239","100,598","104,671","104,293","112,744","110,714","119,375","117,637",,,,,,
"Less than $50,000",2.00%,2.80%,2.90%,"3,893","3,541","3,281","5,114","3,525","2,079","4,183",,,,,,
"$50,000 to $99,999",6.90%,6.60%,6.70%,"5,020","6,056","5,492","5,593","4,257","4,461","3,354",,,,,,
"$100,000 to $149,999",28.40%,22.60%,24.00%,"25,226","24,827","24,574","24,154","16,800","13,429","10,088",,,,,,
"$150,000 to $199,999",28.40%,28.40%,27.10%,"26,508","28,556","27,683","26,892","25,324","26,434","19,907",,,,,,
"$200,000 to $299,999",22.50%,24.90%,25.60%,"26,565","26,446","30,458","31,215","36,233","41,354","42,681",,,,,,
"$300,000 to $499,999",10.30%,12.30%,10.60%,"11,277","13,437","10,685","16,979","21,087","25,538","31,510",,,,,,
"$500,000 to $999,999",1.10%,2.00%,2.70%,"1,891","1,632","1,797","2,202","2,863","5,391","5,423",,,,,,
"$1,000,000 or more",0.30%,0.40%,0.50%,218,176,323,595,625,689,491,,,,,,
Median (dollars),"176,700","178,400","175,300","175,100","176,500","179,600","187,900","212,300","227,000","242,000",,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
